name,section,subsection,url,repo,path,ref,author,tag,stars,license,archived,pushed_at,skills,mcp_component,root_plugin_json,open_agent_plugins_schema,open_schema_paths,open_schema_in_pinned_repo,ships_grok,ships_cursor,ships_claude,ships_codex,marketplace_pinned,manifests_established,first_seen,description
sentry,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/getsentry/plugin-grok,getsentry/plugin-grok,,7f9d7823a68a7668867786a573ef587ef2783f7d,Sentry,production,1,MIT,false,2026-08-27T16:25:43Z,8,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"read error reports, analyze stack traces and search issues by fingerprint from the agent."
stripe,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/stripe/ai/tree/HEAD/providers/grok/plugin,stripe/ai,providers/grok/plugin,1dc126b93cc62e28aff7e00e51406dfeb8ac88d5,Stripe,production,1781,MIT,false,2026-08-30T13:40:48Z,8,true,false,false,,true,true,false,false,false,true,true,2026-08-31,"payments, subscriptions and billing objects from the agent, test mode included."
superpowers,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/obra/superpowers,obra/superpowers,,b36e0829c6d0140e93cfef2ca599b1b07d4a7797,obra,production,279891,MIT,false,2026-08-29T03:21:18Z,14,false,false,false,,false,false,true,true,true,true,true,2026-08-31,"the largest general skill collection shipped in the marketplace; planning, debugging and writing workflows."
tavily,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/tavily-ai/tavily-grok-plugin,tavily-ai/tavily-grok-plugin,,0cfd0c2be2df4a2a90c683abaadaf36ef7f2f59d,Tavily,production,2,MIT,false,2026-07-17T18:23:42Z,8,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"web search, content extraction, crawling and deep research over a hosted MCP server with OAuth."
tesla-fleet-mcp,Grok Bot plugins and MCP servers,,https://github.com/supervised-nl/tesla-fleet-mcp,supervised-nl/tesla-fleet-mcp,,main,supervised-nl,beta,0,MIT,false,2026-08-30T06:35:10Z,3,true,false,false,,,false,false,false,false,false,true,2026-08-31,"Tesla Fleet API over Streamable HTTP; climate, charge and lock need Tesla's own proxy and a virtual key on the car."
tinyfish,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/tinyfish-io/tinyfish-web-agent-integrations/tree/HEAD/grok,tinyfish-io/tinyfish-web-agent-integrations,grok,89457fba3fa44c7b2227807948628011983ab668,TinyFish,production,18,MIT,false,2026-08-27T20:48:11Z,5,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"goal-driven browser automation on live sites, including authenticated ones, via saved browser profiles."
vercel,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/vercel/vercel-plugin,vercel/vercel-plugin,,c4a1c4e2e16feefb1d9f2ad2a4a451abd0ae91c6,Vercel,production,270,NOASSERTION,false,2026-08-31T02:39:22Z,52,true,false,false,,false,false,true,true,false,true,true,2026-08-31,"manage deployments, check build status, read logs, configure domains."
wix,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/wix/skills,wix/skills,,6277ddff7bc62102d06d969d76e41f81eb86d48e,Wix,production,27,MIT,false,2026-08-31T11:59:24Z,21,true,true,false,,false,false,true,true,true,true,true,2026-08-31,"build, manage and deploy Wix sites and apps: eCommerce, CMS and dashboard extensions."
xai-org/plugin-marketplace,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/xai-org/plugin-marketplace,xai-org/plugin-marketplace,,main,xAI,production,200,,false,2026-08-30T15:12:35Z,3,true,false,false,,,true,false,false,false,false,true,2026-08-31,the official marketplace itself: the vendor set above plus the `.grok-plugin` manifest format they all use.
yourai-context-plugin,Grok Bot plugins and MCP servers,,https://github.com/Melade-Inc/yourai-context-plugin,Melade-Inc/yourai-context-plugin,,main,Melade,beta,0,Apache-2.0,false,2026-08-27T16:16:29Z,1,true,true,true,plugin.json,,false,false,true,false,false,true,2026-08-31,read-only hosted connector for an organization's published knowledge library and the user's own recent computer activity.
botskills,Grok Bot skills,,https://github.com/PramodDutta/botskills,PramodDutta/botskills,,main,PramodDutta,beta,2,MIT,false,2026-08-30T13:41:56Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,paste-ready `BOT.md` setups for Grok Bot and Rakazo; every listing declares the one irreversible action it never takes without you.
botteams,Grok Bot skills,,https://github.com/ellelion/botteams,ellelion/botteams,,main,ellelion,beta,0,MIT,false,2026-08-31T10:44:52Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,"fifteen company teams as single markdown files: one installer prompt creates the named Bots, the group chat and the routines."
grok-bot-profiles,Grok Bot skills,,https://github.com/HAEGONG/grok-bot-profiles,HAEGONG/grok-bot-profiles,,main,HAEGONG,beta,6,CC-BY-4.0,false,2026-08-27T06:25:19Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"spec writer, bug reproducer, PR producer and PR verifier as separate Bots, each with an explicit point where its authority ends."
grok-bot-skill,Grok Bot skills,,https://github.com/adamanz/grok-bot-skill,adamanz/grok-bot-skill,,main,adamanz,beta,7,MIT,false,2026-08-17T16:20:46Z,1,false,false,false,,,false,false,true,false,false,true,2026-08-31,"list, message and create Grok Bots from the terminal using the local desktop session, no token copying."
grok-bot-super,Grok Bot skills,,https://github.com/AgentMindCloud/grok-bot-super,AgentMindCloud/grok-bot-super,,main,AgentMindCloud,beta,1,MIT,true,2026-08-17T02:25:19Z,9,false,false,false,,,false,false,false,false,false,true,2026-08-31,"community skill library (daily standup, email triage, meeting-to-actions, research brief, weekly review, X-thread builder). Archived upstream on 2026-08-17 and no longer maintained; the skills still work, but nothing here will be fixed."
grok-bot-templates,Grok Bot skills,,https://github.com/cobusgreyling/grok-bot-templates,cobusgreyling/grok-bot-templates,,main,cobusgreyling,beta,4,MIT,false,2026-08-29T17:25:35Z,47,false,false,false,,,false,false,false,false,false,true,2026-08-31,"scored operating contracts (job, never-list, L1 default, CI). Paste START.md, tap a team."
grokbot-for-gtm,Grok Bot skills,,https://github.com/bcharleson/grokbot-for-gtm,bcharleson/grokbot-for-gtm,,main,bcharleson,beta,4,MIT,false,2026-08-20T19:18:31Z,11,false,false,false,,,false,false,false,false,false,true,2026-08-31,"numbered outbound motion for a Bot: intake, sending infrastructure, list build, email, LinkedIn, reply handling, daily ops."
grokbot-imessage-skill,Grok Bot skills,,https://github.com/jeffhuber/grokbot-imessage-skill,jeffhuber/grokbot-imessage-skill,,main,jeffhuber,beta,18,MIT,false,2026-08-19T21:03:43Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,"read, triage, search and send iMessages on macOS via a local, privacy-first launchd helper (no cloud sync)."
grokmd,Grok Bot skills,,https://github.com/Aiworkflow360/grokmd,Aiworkflow360/grokmd,,main,Aiworkflow360,beta,0,NOASSERTION,false,2026-08-25T13:45:57Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"twenty `GROK.md` character files written from primary sources, plus the spec and review checklist for writing your own."
HyperGrok,Grok Bot skills,,https://github.com/galleonlabs/hypergrok-trading-desk,galleonlabs/hypergrok-trading-desk,,main,galleonlabs,beta,34,MIT,false,2026-08-31T10:12:15Z,16,false,true,true,plugin.json,,true,true,true,false,false,true,2026-08-31,"seven-agent Hyperliquid trading desk for Grok Bot: research, size, execute, review."
overnight,Grok Bot skills,,https://github.com/Archive228/overnight,Archive228/overnight,,main,Archive228,experimental,0,MIT,false,2026-08-26T11:56:32Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"six-bot crew for sourced short-form video, with one role per boundary and a human gate before anything publishes."
thin-grok-bot-deep-work-on-cli,Grok Bot skills,,https://github.com/Luca-Blight/thin-grok-bot-deep-work-on-cli,Luca-Blight/thin-grok-bot-deep-work-on-cli,,main,Luca-Blight,beta,1,MIT,false,2026-08-28T19:04:06Z,1,false,true,true,plugin.json,,false,true,false,false,false,true,2026-08-31,"keeps the Bot mesh for routing and hands long builds to Cursor CLI, Cursor cloud agents or the grok CLI."
werewolf-gamemaster,Grok Bot skills,,https://github.com/Heyvhuang/werewolf-gamemaster,Heyvhuang/werewolf-gamemaster,,main,Heyvhuang,experimental,0,MIT,false,2026-08-15T12:17:54Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,"one Bot runs a stateful game of Werewolf: roles and night actions stay in 1:1 chats, turn tokens stop out-of-order replies."
foreman,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/Archive228/foreman,Archive228/foreman,,main,Archive228,beta,2,MIT,false,2026-08-28T23:22:38Z,6,false,false,false,,,true,false,false,false,false,true,2026-08-31,"declares a Bot crew in git, reconciles it against the account, and reports where work stopped, repeated or waited on you."
grok-bot-cli,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/ScriptedAlchemy/grok-bot-cli,ScriptedAlchemy/grok-bot-cli,,main,ScriptedAlchemy,beta,30,MIT,false,2026-08-22T01:43:39Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"`gbot`: create, update, message and inspect Bots, groups and threads from the terminal on the macOS app's own session."
grok-bot-discord,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/davefmurray/grok-bot-discord,davefmurray/grok-bot-discord,,main,davefmurray,beta,2,MIT,false,2026-08-17T00:22:53Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"Discord Gateway bridge so a Bot shows online and wakes on `@mention`, with fail-closed guild, channel and author allowlists."
grok-bot-flake,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/jordangarrison/grok-bot-flake,jordangarrison/grok-bot-flake,,main,jordangarrison,experimental,3,,false,2026-08-26T04:07:00Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,Nix flake that repackages the official Linux `.deb` (no source build).
grok-bot-for-linux-and-android,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/1nc0gn30/grok-bot-for-linux-and-android,1nc0gn30/grok-bot-for-linux-and-android,,main,1nc0gn30,experimental,1,MIT,false,2026-08-27T07:54:37Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"unofficial client covering the two seats xAI does not ship, with a workspace on your own machine and LAN phone pairing."
grok-bot-setup,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/BlockedPath/grok-bot-setup,BlockedPath/grok-bot-setup,,main,BlockedPath,beta,10,MIT,false,2026-08-17T13:33:12Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"adapters CLI and custom model-provider bridges (DeepSeek, Claude, Grok, OpenAI)."
grok-bot-usage,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/Kargatharaakash/grok-bot-usage,Kargatharaakash/grok-bot-usage,,main,Kargatharaakash,beta,1,MIT,false,2026-08-26T22:36:05Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"`gbu`: weekly usage and on-demand spend for several Cursor accounts in one terminal, zero dependencies."
grok-codex-router,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/IgorWarzocha/grok-codex-router,IgorWarzocha/grok-codex-router,,main,IgorWarzocha,experimental,0,MIT,false,2026-08-30T18:29:31Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,routes Bot inference to a ChatGPT Codex subscription by patching the VM; the author warns it can break installs or get an account restricted.
grokbot-shim,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/codeaashu/grokbot-shim,codeaashu/grokbot-shim,,main,codeaashu,experimental,19,ISC,false,2026-08-29T20:11:29Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"runs the installed Grok Bot app against a local host runtime, a local Chrome/XFCE desktop and Codex or OpenAI-compatible models."
guaca,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/madebywelch/guaca,madebywelch/guaca,,main,madebywelch,beta,27,AGPL-3.0,false,2026-08-30T22:29:15Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,local desktop app where a crew of agents message each other in their own worktrees; everything runs on your machine.
omarchy-grok-bot,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/glorics/omarchy-grok-bot,glorics/omarchy-grok-bot,,main,glorics,experimental,0,MIT,false,2026-08-31T10:08:33Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,Omarchy bar widget that launches and focuses the Grok Bot Linux client and fetches newer AppImages.
open-grok-bot,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/Anil-matcha/open-grok-bot,Anil-matcha/open-grok-bot,,main,Anil-matcha,experimental,2,,false,2026-08-20T08:28:08Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,local-first bot workspace on FastAPI and Next.js with a deny-by-default action gateway and an audit trail.
open-grokbot,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/ishandutta2007/open-grokbot,ishandutta2007/open-grokbot,,main,ishandutta2007,beta,5,MIT,false,2026-08-13T05:43:43Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"self-hosted multi-agent platform with persistent sandboxes and demonstration-based learning, `docker compose up`."
OpenGrokBot,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/wolfqing/OpenGrokBot,wolfqing/OpenGrokBot,,main,wolfqing,beta,7,MIT,false,2026-08-13T09:59:53Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"self-hosted, open-source Grok Bot alternative assembled from OpenClaw plus any model you bring; your hardware, your credentials."
sand,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/alokwhitewolf/sand,alokwhitewolf/sand,,main,alokwhitewolf,experimental,0,MIT,false,2026-08-11T21:14:15Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"unofficial terminal bridge to message your Bots from the CLI, since Grok Bot doesn't ship one."
XinyunOpenBot,"Self-hosted Grok Bot alternatives, runtimes and bridges",,https://github.com/dongpen-max/XinyunOpenBot,dongpen-max/XinyunOpenBot,,main,dongpen-max,beta,5,MIT,false,2026-08-30T05:07:57Z,1,false,false,false,,,false,false,false,false,false,true,2026-08-31,"Chinese-first desktop alternative with OpenAI-compatible relay endpoints, a cloud desktop and per-bot voices."
